KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K26458,NKRF; NF-kappa-B-repressing factor,Eukaryotic type,Other transcription factors,Others
K14514,EIN3; ethylene-insensitive protein 3,Eukaryotic type,Other transcription factors,Others
K11215,STE12; transcription factor STE12,Eukaryotic type,Other transcription factors,Others
K12413,WHI5; G1-specific transcriptional repressor WHI5,Eukaryotic type,Other transcription factors,Others
K12764,IME1; meiosis-inducing protein 1,Eukaryotic type,Other transcription factors,Others
K12779,SUM1; suppressor of MAR1-1 protein,Eukaryotic type,Other transcription factors,Others
K19815,HOT1; high-osmolarity-induced transcription protein 1,Eukaryotic type,Other transcription factors,Others
K19816,MSS11; transcription activator MSS11,Eukaryotic type,Other transcription factors,Others
K21631,"GTI1, PAC2, WOR1; Gti1/Pac2 family transcription factor",Eukaryotic type,Other transcription factors,Others
K12763,"EFG1, SOK2; enhanced filamentous growth protein 1",Eukaryotic type,Other transcription factors,Others
K02099,"araC; AraC family transcriptional regulator, arabinose operon regulatory protein",Prokaryotic type,Helix-turn-helix,AraC family
K02508,"hpaA; AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein",Prokaryotic type,Helix-turn-helix,AraC family
K02854,"rhaR; AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR",Prokaryotic type,Helix-turn-helix,AraC family
K02855,"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS",Prokaryotic type,Helix-turn-helix,AraC family
K03490,"chbR, celD; AraC family transcriptional regulator, dual regulator of chb operon",Prokaryotic type,Helix-turn-helix,AraC family
K03755,"adiY; AraC family transcriptional regulator, transcriptional activator of adiA",Prokaryotic type,Helix-turn-helix,AraC family
K04033,"eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator",Prokaryotic type,Helix-turn-helix,AraC family
K05372,ybtA; AraC family transcriptional regulator,Prokaryotic type,Helix-turn-helix,AraC family
K06599,"chpD; AraC family transcriptional regulator, chemosensory pili system protein ChpD",Prokaryotic type,Helix-turn-helix,AraC family
K07780,"appY; AraC family transcriptional regulator, transcriptional regulator required for anaerobic and stationary phase induction of genes",Prokaryotic type,Helix-turn-helix,AraC family
K10923,"tcpN, toxT; AraC family transcriptional regulator, TCP pilus virulence regulatory protein",Prokaryotic type,Helix-turn-helix,AraC family
K11920,envY; AraC family transcriptional regulator,Prokaryotic type,Helix-turn-helix,AraC family
K12243,"pchR; AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors",Prokaryotic type,Helix-turn-helix,AraC family
K13631,"soxS; AraC family transcriptional regulator, mar-sox-rob regulon activator",Prokaryotic type,Helix-turn-helix,AraC family
K13632,"marA; AraC family transcriptional regulator, mar-sox-rob regulon activator",Prokaryotic type,Helix-turn-helix,AraC family
K05804,"rob; AraC family transcriptional regulator, mar-sox-rob regulon activator",Prokaryotic type,Helix-turn-helix,AraC family
K18325,"ramA; AraC family of transcriptional regulator, multidrug resistance transcriptional activator",Prokaryotic type,Helix-turn-helix,AraC family
K14063,"feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB",Prokaryotic type,Helix-turn-helix,AraC family
K18954,"pobR; AraC family transcriptional regulator, transcriptional activator of pobA",Prokaryotic type,Helix-turn-helix,AraC family
K18991,"mtrA; AraC family transcriptional regulator, activator of mtrCDE",Prokaryotic type,Helix-turn-helix,AraC family
K19056,"tetD; AraC family transcriptional regulator, transposon Tn10 TetD protein",Prokaryotic type,Helix-turn-helix,AraC family
K20968,"exsA; AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA",Prokaryotic type,Helix-turn-helix,AraC family
K21746,"rclR; AraC family transcriptional regulator, reactive chlorine species (RCS)-specific activator of rcl operon",Prokaryotic type,Helix-turn-helix,AraC family
K21747,"alkR; AraC family transcriptional regulator, alkane utilization regulator",Prokaryotic type,Helix-turn-helix,AraC family
K21906,"gadW; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator",Prokaryotic type,Helix-turn-helix,AraC family
K21905,"gadX; AraC family transcriptional regulator, glutamate-dependent acid resistance regulator",Prokaryotic type,Helix-turn-helix,AraC family
K23237,"melR; AraC family transcriptional regulator, melibiose operon regulatory protein",Prokaryotic type,Helix-turn-helix,AraC family
K25495,"nimR; AraC family transcriptional regulator, regulator of nimT",Prokaryotic type,Helix-turn-helix,AraC family
K19693,"tfoS; AraC family transcriptional regulator, chitin signaling transcriptional activator",Prokaryotic type,Helix-turn-helix,AraC family
K21701,"btr; AraC family transcriptional regulator, transcriptional activator for feuABC-ybbA operon",Prokaryotic type,Helix-turn-helix,AraC family
K27259,"pocR; AraC family transcriptional regulator, pdu and cob operon regulator",Prokaryotic type,Helix-turn-helix,AraC family
K13652,K13652; AraC family transcriptional regulator,Prokaryotic type,Helix-turn-helix,AraC family
K13653,K13653; AraC family transcriptional regulator,Prokaryotic type,Helix-turn-helix,AraC family
K07506,K07506; AraC family transcriptional regulator,Prokaryotic type,Helix-turn-helix,AraC family
K10778,"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]",Prokaryotic type,Helix-turn-helix,AraC family
K13529,"ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]",Prokaryotic type,Helix-turn-helix,AraC family
K13530,"adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]",Prokaryotic type,Helix-turn-helix,AraC family
K13633,"ftrA; AraC family transcriptional regulator, transcriptional activator FtrA",Prokaryotic type,Helix-turn-helix,AraC family
K17736,"cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator",Prokaryotic type,Helix-turn-helix,AraC family
K21825,"argR; AraC family transcriptional regulator, L-arginine-responsive activator",Prokaryotic type,Helix-turn-helix,AraC family
K21826,"gbdR; AraC family transcriptional regulator, glycine betaine-responsive activator",Prokaryotic type,Helix-turn-helix,AraC family
K03566,"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K02521,"ilvY; LysR family transcriptional regulator, positive regulator for ilvC",Prokaryotic type,Helix-turn-helix,LysR family
K02623,"pcaQ; LysR family transcriptional regulator, pca operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K03576,"metR; LysR family transcriptional regulator, regulator for metE and metH",Prokaryotic type,Helix-turn-helix,LysR family
K03717,"nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA",Prokaryotic type,Helix-turn-helix,LysR family
K04761,"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator",Prokaryotic type,Helix-turn-helix,LysR family
K05596,"iciA; LysR family transcriptional regulator, chromosome initiation inhibitor",Prokaryotic type,Helix-turn-helix,LysR family
K05798,"leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon",Prokaryotic type,Helix-turn-helix,LysR family
K05817,"hcaR; LysR family transcriptional regulator, hca operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K07592,"tdcA; LysR family transcriptional regulator, tdc operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K09681,"gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon",Prokaryotic type,Helix-turn-helix,LysR family
K10918,"aphB; LysR family transcriptional regulator, transcriptional activator AphB",Prokaryotic type,Helix-turn-helix,LysR family
K10972,"allS; LysR family transcriptional regulator, transcriptional activator of the allD operon",Prokaryotic type,Helix-turn-helix,LysR family
K11921,"cynR; LysR family transcriptional regulator, cyn operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K13634,"cysB; LysR family transcriptional regulator, cys regulon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K13635,"cbl; LysR family transcriptional regulator, cys regulon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K13636,"dsdC; LysR family transcriptional regulator, D-serine deaminase activator",Prokaryotic type,Helix-turn-helix,LysR family
K13794,"tcuR; LysR family transcriptional regulator, regulatory protein for tcuABC",Prokaryotic type,Helix-turn-helix,LysR family
K13928,"mdcR; LysR family transcriptional regulator, malonate utilization transcriptional regulator",Prokaryotic type,Helix-turn-helix,LysR family
K14057,"abgR; LysR family transcriptional regulator, regulator of abg operon",Prokaryotic type,Helix-turn-helix,LysR family
K14657,"nodD; LysR family transcriptional regulator, nod-box dependent transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K25882,"syrM; LysR family transcriptional regulator, transcriptional activator of nodD3 and syrA",Prokaryotic type,Helix-turn-helix,LysR family
K16135,"dmlR; LysR family transcriptional regulator, transcriptional activator for dmlA",Prokaryotic type,Helix-turn-helix,LysR family
K17737,"dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K16516,"galR; LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway",Prokaryotic type,Helix-turn-helix,LysR family
K17850,"ampR; LysR family transcriptional regulator, regulator of gene expression of beta-lactamase",Prokaryotic type,Helix-turn-helix,LysR family
K18297,"mexT; LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K18900,"bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC",Prokaryotic type,Helix-turn-helix,LysR family
K18927,"lldR; LysR family transcriptional regulator, L-lactate utilization regulator",Prokaryotic type,Helix-turn-helix,LysR family
K19242,"citR; LysR family transcriptional regulator, repressor for citA",Prokaryotic type,Helix-turn-helix,LysR family
K19338,"nac; LysR family transcriptional regulator, nitrogen assimilation regulatory protein",Prokaryotic type,Helix-turn-helix,LysR family
K19555,"spvR; LysR family transcriptional regulator, spv operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K19618,"fitG; LysR family transcriptional regulator, activator of insecticidal toxin",Prokaryotic type,Helix-turn-helix,LysR family
K19624,"phcA; LysR family transcriptional regulator, virulence genes transcriptional regulator",Prokaryotic type,Helix-turn-helix,LysR family
K19735,"mvfR, pqsR; LysR family transcriptional regulator, quorum-sensing system regulator MvfR",Prokaryotic type,Helix-turn-helix,LysR family
K21645,"hypT, qseD; LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT",Prokaryotic type,Helix-turn-helix,LysR family
K21698,"aaeR; LysR family transcriptional regulator, transcriptional activator for aaeXAB operon",Prokaryotic type,Helix-turn-helix,LysR family
K21699,"bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon",Prokaryotic type,Helix-turn-helix,LysR family
K21703,"cbbR, cmpR, ndhR; LysR family transcriptional regulator, low CO2-responsive transcriptional regulator",Prokaryotic type,Helix-turn-helix,LysR family
K21711,"pycR; LysR family transcriptional regulator, putative pyruvate carboxylase regulator",Prokaryotic type,Helix-turn-helix,LysR family
K21742,"ttdR; LysR family transcriptional regulator, transcriptional activator for ttdABT operon",Prokaryotic type,Helix-turn-helix,LysR family
K21755,"bsdA; LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD",Prokaryotic type,Helix-turn-helix,LysR family
K21756,"catM; LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes",Prokaryotic type,Helix-turn-helix,LysR family
K21757,"benM; LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes",Prokaryotic type,Helix-turn-helix,LysR family
K21900,"cysL; LysR family transcriptional regulator, transcriptional activator of the cysJI operon",Prokaryotic type,Helix-turn-helix,LysR family
K21959,"ftsR; LysR family transcriptional regulator, cell division regulator",Prokaryotic type,Helix-turn-helix,LysR family
K22711,"pltR; LysR family transcriptional regulator, pyoluteorin biosynthesis regulator",Prokaryotic type,Helix-turn-helix,LysR family
K23773,"hdfR; LysR family transcriptional regulator, flagellar master operon regulator",Prokaryotic type,Helix-turn-helix,LysR family
K24082,"pgrR; LysR family transcriptional regulator, regulator of peptidoglycan recycling",Prokaryotic type,Helix-turn-helix,LysR family
K26290,"palR; LysR family transcriptional regulator, regulator of pal gene cluster",Prokaryotic type,Helix-turn-helix,LysR family
K27042,"trpI; LysR family transcriptional regulator, trpBA operon transcriptional activator",Prokaryotic type,Helix-turn-helix,LysR family
K21960,"ytlI; LysR family transcriptional regulator, regulator of the ytmI operon",Prokaryotic type,Helix-turn-helix,LysR family
K11534,"deoR; DeoR family transcriptional regulator, deoxyribose operon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02444,"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02530,"lacR; DeoR family transcriptional regulator, lactose phosphotransferase system repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02436,"gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02081,"agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02430,"fucR; DeoR family transcriptional regulator, L-fucose operon activator",Prokaryotic type,Helix-turn-helix,DeoR family
K03436,"fruR2, fruR; DeoR family transcriptional regulator, fructose operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K02468,"srlR, gutR; DeoR family transcriptional regulator, glucitol operon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K03477,"ulaR; DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K06283,"spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D",Prokaryotic type,Helix-turn-helix,DeoR family
K06608,"iolR; DeoR family transcriptional regulator, myo-inositol catabolism operon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K20271,"accR; DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer",Prokaryotic type,Helix-turn-helix,DeoR family
K22103,"glcR; DeoR family transcriptional regulator, carbon catabolite repression regulator",Prokaryotic type,Helix-turn-helix,DeoR family
K23774,"ccpN; DeoR family transcriptional regulator, catabolite repression regulator",Prokaryotic type,Helix-turn-helix,DeoR family
K27243,"csqR; DeoR family transcriptional regulator, sulfoquinovose operon repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K21601,"ycnK; DeoR family transcriptional regulator, copper-sensing transcriptional repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K09012,"sufR; DeoR family transcriptional regulator, suf operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,DeoR family
K27069,"lacI; LacI family transcriptional regulator, lactose operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K02529,"galR; LacI family transcriptional regulator, galactose operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K02525,"kdgR; LacI family transcriptional regulator, kdg operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K05499,"cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG",Prokaryotic type,Helix-turn-helix,LacI family
K03435,"fruR1, fruR; LacI family transcriptional regulator, fructose operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,LacI family
K03484,"scrR; LacI family transcriptional regulator, sucrose operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K03485,"treR; LacI family transcriptional regulator, trehalose operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K03487,"ascG; LacI family transcriptional regulator, asc operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K03604,"purR; LacI family transcriptional regulator, purine nucleotide synthesis repressor",Prokaryotic type,Helix-turn-helix,LacI family
K06145,"gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor",Prokaryotic type,Helix-turn-helix,LacI family
K06146,"idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator",Prokaryotic type,Helix-turn-helix,LacI family
K12113,"ebgR; LacI family transcriptional regulator, ebg operon repressor",Prokaryotic type,Helix-turn-helix,LacI family
K16136,"malI; LacI family transcriptional regulator, maltose regulon regulatory protein",Prokaryotic type,Helix-turn-helix,LacI family
K17640,"bxlR; LacI family transcriptional regulator, xylobiose transport system transcriptional regulator",Prokaryotic type,Helix-turn-helix,LacI family
K26609,"exuR; LacI family transcriptional regulator, galacturonate utilization repressor",Prokaryotic type,Helix-turn-helix,LacI family
K02103,"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K03482,"yidP; GntR family transcriptional regulator, glv operon transcriptional regulator",Prokaryotic type,Helix-turn-helix,GntR family
K03486,"treR2, treR; GntR family transcriptional regulator, trehalose operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K03489,"yydK; GntR family transcriptional regulator, transcriptional regulator of bglA",Prokaryotic type,Helix-turn-helix,GntR family
K03492,"gmuR; GntR family transcriptional regulator, regulator of glucomannan utilization",Prokaryotic type,Helix-turn-helix,GntR family
K02043,"phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein",Prokaryotic type,Helix-turn-helix,GntR family
K05836,"hutC; GntR family transcriptional regulator, histidine utilization repressor",Prokaryotic type,Helix-turn-helix,GntR family
K10711,"frlR; GntR family transcriptional regulator, frlABCD operon transcriptional regulator",Prokaryotic type,Helix-turn-helix,GntR family
K11922,"mngR, farR; GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor",Prokaryotic type,Helix-turn-helix,GntR family
K24966,"gamR; GntR family transcriptional regulator, amino sugar utilization regulator",Prokaryotic type,Helix-turn-helix,GntR family
K24967,"nagR; GntR family transcriptional regulator, N-acetylglucosamine utilization regulator",Prokaryotic type,Helix-turn-helix,GntR family
K24968,"phnF; GntR family transcriptional regulator, repressor of the phnDCE operon",Prokaryotic type,Helix-turn-helix,GntR family
K24969,"dasR; GntR family transcriptional regulator, nutrient-sensing system regulator",Prokaryotic type,Helix-turn-helix,GntR family
K03710,K03710; GntR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,GntR family
K03603,"fadR; GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA",Prokaryotic type,Helix-turn-helix,GntR family
K05799,"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex",Prokaryotic type,Helix-turn-helix,GntR family
K11474,"glcC; GntR family transcriptional regulator, glc operon transcriptional activator",Prokaryotic type,Helix-turn-helix,GntR family
K13637,"uxuR; GntR family transcriptional regulator, uxu operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K19775,"exuR; GntR family transcriptional regulator, hexuronate regulon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K14348,"lldR; GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator",Prokaryotic type,Helix-turn-helix,GntR family
K19776,"dgoR; GntR family transcriptional regulator, galactonate operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K22104,"nanR; GntR family transcriptional regulator, sialic acid-inducible nan operon repressor",Prokaryotic type,Helix-turn-helix,GntR family
K00375,K00375; GntR family transcriptional regulator / MocR family aminotransferase,Prokaryotic type,Helix-turn-helix,GntR family
K18907,"norG; GntR family transcriptional regulator, regulator for abcA and norABC",Prokaryotic type,Helix-turn-helix,GntR family
K07978,plmA; GntR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,GntR family
K07979,ytrA; GntR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,GntR family
K11476,"gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K11475,"vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator",Prokaryotic type,Helix-turn-helix,GntR family
K13654,"mcbR; GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator",Prokaryotic type,Helix-turn-helix,GntR family
K15735,"csiR; GntR family transcriptional regulator, carbon starvation induced regulator",Prokaryotic type,Helix-turn-helix,GntR family
K22293,"rspR; GntR family transcriptional regulator, rspAB operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,GntR family
K23015,"lgoR; GntR family transcriptional regulator, transcriptional activator for L-galactonate catabolism",Prokaryotic type,Helix-turn-helix,GntR family
K23466,"tgnR; GntR family transcriptional regulator, trigonelline degradation regulator",Prokaryotic type,Helix-turn-helix,GntR family
K18476,"tetR; TetR/AcrR family transcriptional regulator, tetracycline repressor protein",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K19047,"tetC; TetR/AcrR family transcriptional regulator, repressor of tetCD",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K02167,"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K03577,"acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18136,"acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K05501,"slmA, ttk; TetR/AcrR family transcriptional regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K09017,rutR; TetR/AcrR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K10913,"hapR, luxR, litR; TetR/AcrR family transcriptional regulator, hemagglutinin/protease regulatory protein",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K19736,"aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K13770,"ysiA, fadR; TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K16137,"nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K16138,"uidR; TetR/AcrR family transcriptional regulator, repressor for uid operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18301,"mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18129,"mexZ; TetR/AcrR family transcriptional regulator, mexXY operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18130,"nalC; TetR/AcrR family transcriptional regulator, transcriptional repressor NalC",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18135,"nalD; TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18137,"adeN; TetR/AcrR family transcriptional regulator, repressor of the adeIJK operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18140,"envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18294,"nfxB; TetR/AcrR family transcriptional regulator, mexCD-oprJ operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18905,"ameR, rmiR; TetR/AcrR family transcriptional regulator, repressor of the ameABC operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18937,"lfrR; TetR/AcrR family transcriptional regulator, repressor for lfrA",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18938,"qacR; TetR/AcrR family transcriptional regulator, repressor for qacA",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18939,"lmrA, yxaF; TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K18992,"cmeR; TetR/AcrR family transcriptional regulator, cmeABC operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K19060,"mphR; TetR/AcrR family transcriptional regulator, macrolide resistance operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K19335,"bdcR; TetR/AcrR family transcriptional regulator, repressor for divergent bdcA",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K20325,"fhrR; TetR/AcrR family transcriptional regulator, Clp-modulated transcription factor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K21453,"icaR; TetR/AcrR family transcriptional regulator, biofilm operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K21961,"ethR, etaR; TetR/AcrR family transcriptional regulator, ethionamide resistance regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K21962,"acnR; TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22041,"comR; TetR/AcrR family transcriptional regulator, copper-responsive repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22105,"fabR; TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22106,"fatR, bscR; TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22107,"kstR; TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22108,"kstR2; TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22294,"nicS; TetR/AcrR family transcriptional regulator, upper aerobic nicotinate degradation pathway regulator",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K23777,"cecR; TetR/AcrR family transcriptional regulator, regulator of cefoperazone and chloramphenicol sensitivity",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K24699,"mftR; TetR/AcrR family transcriptional regulator, regulator of mycofactocin system",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K27107,"mce3R; TetR/AcrR family transcriptional regulator, mce3 operon repressor",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K22295,"K22295; TetR/AcrR family transcriptional regulator, repressor for neighboring sulfatase",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K23778,"rcdA; TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response",Prokaryotic type,Helix-turn-helix,TetR/AcrR family
K03718,"asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K06154,"lysM; Lrp/AsnC family transcriptional regulator, involved in the regulation of lysine biosynthesis",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K15782,"doeX; Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K05800,"decR, cyuR; Lrp/AsnC family transcriptional regulator, cysteine-sensing transcriptional activator",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K26601,"azlB; Lrp/AsnC family transcriptional regulator, repressor for azl operon",Prokaryotic type,Helix-turn-helix,Lrp/AsnC family
K15852,"luxR, vanR; LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon",Prokaryotic type,Helix-turn-helix,LuxR family
K18304,"lasR; LuxR family transcriptional regulator, quorum-sensing system regulator LasR",Prokaryotic type,Helix-turn-helix,LuxR family
K18099,"rhlR, phzR; LuxR family transcriptional regulator, quorum-sensing system regulator RhlR",Prokaryotic type,Helix-turn-helix,LuxR family
K18098,"bjaR1, rpaR, rhiR; LuxR family transcriptional regulator, quorum-sensing system regulator BjaR1",Prokaryotic type,Helix-turn-helix,LuxR family
K07782,"sdiA; LuxR family transcriptional regulator, quorum-sensing system regulator SdiA",Prokaryotic type,Helix-turn-helix,LuxR family
K19666,"solR, cepR, tofR; LuxR family transcriptional regulator, quorum-sensing system regulator SolR",Prokaryotic type,Helix-turn-helix,LuxR family
